studentID,firstName,lastName,gender,subject,score,timestamp,middleName
0,Natalie,Jones,Female,Maths,3.8,1571900400000,kumar0
1,Natalie,Jones,Female,History,3.5,1571900400000,kumar1
2,Bob,Lewis,Male,Maths,3.2,1571900400000,kumar2
3,Bob,Lewis,Male,Chemistry,3.6,1572418800000,kumar3
4,Jane,Doe,Female,Geography,3.8,1572505200000,kumar4
5,Jane,Doe,Female,English,3.5,1572505200000,kumar5
6,Jane,Doe,Female,Maths,3.2,1572678000000,kumar6
7,Jane,Doe,Female,Physics,3.6,1572678000000,kumar7
8,John,Doe,Male,Maths,3.8,1572678000000,kumar8
9,John,Doe,Male,English,3.5,1572678000000,kumar9
10,John,Doe,Male,History,3.2,1572854400000,kumar10
11,Nick,Young,Female,History,3.6,1572854400000,kumar11
12,Natalie,Jones,Female,Maths,3.8,1571900400000,kumar12
13,Natalie,Jones,Female,History,3.5,1571900400000,kumar13
14,Bob,Lewis,Male,Maths,3.2,1571900400000,kumar14
15,Bob,Lewis,Male,Chemistry,3.6,1572418800000,kumar15
16,Jane,Doe,Female,Geography,3.8,1572505200000,kumar16
17,Jane,Doe,Female,English,3.5,1572505200000,kumar17
