studentID,firstName,lastName,middleName,gender,subject,score,timestamp
60000,Natalie,Jones,kumar60000,Female,Maths,3.8,1626845178712
60001,Natalie,Jones,kumar60001,Female,Maths,3.8,1626845178712
60002,Natalie,Jones,kumar60002,Female,Maths,3.8,1626845178712
60003,Natalie,Jones,kumar60003,Female,Maths,3.8,1626845178712
60004,Natalie,Jones,kumar60004,Female,Maths,3.8,1626845178712
60005,Natalie,Jones,kumar60005,Female,Maths,3.8,1626845178712
60006,Natalie,Jones,kumar60006,Female,Maths,3.8,1626845178712
60007,Natalie,Jones,kumar60007,Female,Maths,3.8,1626845178712
60008,Natalie,Jones,kumar60008,Female,Maths,3.8,1626845178712
60009,Natalie,Jones,kumar60009,Female,Maths,3.8,1626845178712
60010,Natalie,Jones,kumar60010,Female,Maths,3.8,1626845178712
60011,Natalie,Jones,kumar60011,Female,Maths,3.8,1626845178712
60012,Natalie,Jones,kumar60012,Female,Maths,3.8,1626845178712
60013,Natalie,Jones,kumar60013,Female,Maths,3.8,1626845178712
60014,Natalie,Jones,kumar60014,Female,Maths,3.8,1626845178712
60015,Natalie,Jones,kumar60015,Female,Maths,3.8,1626845178712
60016,Natalie,Jones,kumar60016,Female,Maths,3.8,1626845178712
60017,Natalie,Jones,kumar60017,Female,Maths,3.8,1626845178712
60018,Natalie,Jones,kumar60018,Female,Maths,3.8,1626845178712
60019,Natalie,Jones,kumar60019,Female,Maths,3.8,1626845178712
60020,Natalie,Jones,kumar60020,Female,Maths,3.8,1626845178712
60021,Natalie,Jones,kumar60021,Female,Maths,3.8,1626845178712
60022,Natalie,Jones,kumar60022,Female,Maths,3.8,1626845178712
60023,Natalie,Jones,kumar60023,Female,Maths,3.8,1626845178712
60024,Natalie,Jones,kumar60024,Female,Maths,3.8,1626845178712
60025,Natalie,Jones,kumar60025,Female,Maths,3.8,1626845178712
60026,Natalie,Jones,kumar60026,Female,Maths,3.8,1626845178712
60027,Natalie,Jones,kumar60027,Female,Maths,3.8,1626845178712
60028,Natalie,Jones,kumar60028,Female,Maths,3.8,1626845178712
60029,Natalie,Jones,kumar60029,Female,Maths,3.8,1626845178712
60030,Natalie,Jones,kumar60030,Female,Maths,3.8,1626845178712
60031,Natalie,Jones,kumar60031,Female,Maths,3.8,1626845178712
60032,Natalie,Jones,kumar60032,Female,Maths,3.8,1626845178712
60033,Natalie,Jones,kumar60033,Female,Maths,3.8,1626845178712
60034,Natalie,Jones,kumar60034,Female,Maths,3.8,1626845178712
60035,Natalie,Jones,kumar60035,Female,Maths,3.8,1626845178712
60036,Natalie,Jones,kumar60036,Female,Maths,3.8,1626845178712
60037,Natalie,Jones,kumar60037,Female,Maths,3.8,1626845178712
60038,Natalie,Jones,kumar60038,Female,Maths,3.8,1626845178712
60039,Natalie,Jones,kumar60039,Female,Maths,3.8,1626845178712
